Hump_Index,Start_Time(s),Peak_Time(s),Start_duration(s),Stabilization_Time(s),Stabilization_Duration(s),Descent_Start_Time(s),End_Time(s),Descent_Duration(s),Avg_Stabilization_Roll_Value(deg),New_Baseline_Value(deg),Total_Humps
1.000,80.542,87.575,7.033,87.583,7.042,155.092,160.783,5.692,101.610,0.399,
2.000,601.017,608.100,7.083,608.108,7.092,675.600,681.283,5.683,101.828,0.320,
3.000,746.533,753.583,7.050,753.592,7.058,821.083,826.767,5.683,101.395,0.356,
4.000,892.042,899.025,6.983,899.033,6.992,966.550,972.225,5.675,101.824,0.367,
5.000,1412.542,1419.600,7.058,1419.608,7.067,1487.108,1492.783,5.675,101.552,0.336,
6.000,1558.050,1565.058,7.008,1565.067,7.017,1632.575,1638.242,5.667,101.644,0.325,
7.000,1703.567,1710.558,6.992,1710.567,7.000,1778.042,1783.575,5.533,101.683,4.619,
8.000,2224.275,2231.125,6.850,2231.133,6.858,2298.592,2304.250,5.658,101.646,0.339,
9.000,2369.567,2376.583,7.017,2376.592,7.025,2444.058,2449.725,5.667,101.646,0.367,
10.000,2515.083,2522.092,7.008,2522.100,7.017,2589.525,2594.975,5.450,101.790,6.700,
11.000,2801.667,3042.633,240.967,3042.642,240.975,3110.067,3115.725,5.658,101.825,0.380,
12.000,3181.100,3188.092,6.992,3188.100,7.000,3255.533,3261.192,5.658,101.691,0.346,
13.000,3326.608,3333.608,7.000,3333.617,7.008,3401.017,3406.683,5.667,101.783,0.352,
14.000,3847.133,3854.150,7.017,3854.158,7.025,3921.575,3926.067,4.492,101.593,31.027,
15.000,3994.000,3999.600,5.600,3999.608,5.608,4067.058,4072.708,5.650,101.829,0.374,
16.000,4138.133,4145.092,6.958,4145.100,6.967,4212.525,4217.475,4.950,101.705,20.921,
17.000,4659.475,4665.650,6.175,4665.658,6.183,4733.083,4738.733,5.650,101.737,0.661,
18.000,4804.133,4811.108,6.975,4811.117,6.983,4878.550,4884.200,5.650,101.816,0.702,
19.000,4949.642,4956.600,6.958,4956.608,6.967,5024.025,5029.667,5.642,101.761,0.700,
20.000,5470.150,5477.142,6.992,5477.150,7.000,5544.575,5550.217,5.642,101.584,0.657,
21.000,5615.667,5622.633,6.967,5622.642,6.975,5690.033,5695.692,5.658,101.903,0.677,
22.000,5761.175,5768.133,6.958,5768.142,6.967,5835.508,5841.167,5.658,101.651,0.675,
23.000,6286.633,6288.692,2.058,6288.700,2.067,6356.050,6357.242,1.192,101.678,82.063,
24.000,6432.542,6434.167,1.625,6434.175,1.633,6501.517,6502.692,1.175,102.021,82.320,
25.000,6578.075,6579.683,1.608,6579.692,1.617,6647.000,6648.300,1.300,101.943,80.117,
,,,,,,,,,,,25.000
